clump,Number of Adult Female Seals,Number of Baby Seals,Number of Adult Male Seals,Total Number of Seals
LS21323_DJI_0001_clump_0001,1,1,0,2
LS21323_DJI_0001_clump_0002,4,4,0,8
LS21323_DJI_0001_clump_0003,4,5,0,9
LS21323_DJI_0001_clump_0004,1,1,0,2
LS21323_DJI_0001_clump_0005,1,1,0,2
LS21323_DJI_0001_clump_0006,2,2,0,4
LS21323_DJI_0001_clump_0007,1,1,0,2
LS21323_DJI_0001_clump_0008,1,1,0,2
LS21323_DJI_0001_clump_0009,1,1,0,2
LS21323_DJI_0001_clump_0010,1,1,0,2
LS21323_DJI_0001_clump_0011,1,2,0,3
LS21323_DJI_0001_clump_0012,1,1,0,2
LS21323_DJI_0001_clump_0013,1,0,0,1
LS21323_DJI_0001_clump_0014,0,2,1,3
LS21323_DJI_0001_clump_0015,1,1,0,2
LS21323_DJI_0001_clump_0016,1,1,0,2
LS21323_DJI_0001_clump_0017,1,1,0,2
LS21323_DJI_0001_clump_0018,2,2,0,4
LS21323_DJI_0001_clump_0019,1,1,0,2
LS21323_DJI_0001_clump_0020,1,1,0,2
LS21323_DJI_0002_clump_0001,4,3,0,7
LS21323_DJI_0002_clump_0002,1,1,0,2
LS21323_DJI_0002_clump_0003,1,1,0,2
LS21323_DJI_0002_clump_0004,2,2,0,4
LS21323_DJI_0002_clump_0005,1,1,0,2
LS21323_DJI_0002_clump_0006,1,1,0,2
LS21323_DJI_0002_clump_0007,1,1,0,2
LS21323_DJI_0002_clump_0008,2,2,0,4
LS21323_DJI_0002_clump_0009,0,2,1,3
LS21323_DJI_0002_clump_0010,1,1,0,2
LS21323_DJI_0002_clump_0011,1,0,0,1
LS21323_DJI_0002_clump_0012,1,1,0,2
LS21323_DJI_0002_clump_0013,1,1,0,2
LS21323_DJI_0002_clump_0014,3,2,0,5
LS21323_DJI_0002_clump_0015,1,0,0,1
LS21323_DJI_0002_clump_0016,2,2,0,4
LS21323_DJI_0002_clump_0017,1,1,0,2
LS21323_DJI_0002_clump_0018,1,1,0,2
LS21323_DJI_0002_clump_0019,1,2,0,3
LS21323_DJI_0002_clump_0020,1,1,0,2
LS21323_DJI_0002_clump_0021,0,0,1,1
LS21323_DJI_0002_clump_0022,1,1,0,2
LS21323_DJI_0002_clump_0023,1,1,0,2
LS21323_DJI_0003_clump_0001,2,2,0,4
LS21323_DJI_0003_clump_0002,3,1,0,4
LS21323_DJI_0003_clump_0003,3,1,0,4
LS21323_DJI_0003_clump_0004,1,1,0,2
LS21323_DJI_0003_clump_0005,1,1,0,2
LS21323_DJI_0003_clump_0006,1,1,0,2
LS21323_DJI_0003_clump_0007,2,2,0,4
LS21323_DJI_0003_clump_0008,2,2,0,4
LS21323_DJI_0003_clump_0009,1,1,0,2
LS21323_DJI_0003_clump_0010,1,1,0,2
LS21323_DJI_0003_clump_0011,0,0,1,1
LS21323_DJI_0003_clump_0012,5,4,0,9
LS21323_DJI_0003_clump_0013,1,1,0,2
LS21323_DJI_0003_clump_0014,1,1,0,2
LS21323_DJI_0003_clump_0015,1,2,0,3
LS21323_DJI_0003_clump_0016,1,1,0,2
LS21323_DJI_0003_clump_0017,1,1,0,2
LS21323_DJI_0004_clump_0001,1,1,0,2
LS21323_DJI_0004_clump_0002,2,1,0,3
LS21323_DJI_0004_clump_0003,1,1,0,2
LS21323_DJI_0004_clump_0004,7,2,0,9
LS21323_DJI_0004_clump_0005,1,1,0,2
LS21323_DJI_0004_clump_0006,1,2,0,3
LS21323_DJI_0004_clump_0007,1,2,0,3
LS21323_DJI_0005_clump_0001,1,1,0,2
LS21323_DJI_0005_clump_0002,1,1,0,2
LS21323_DJI_0005_clump_0003,3,2,0,5
LS21323_DJI_0005_clump_0004,1,1,0,2
LS21323_DJI_0005_clump_0005,1,1,0,2
LS21323_DJI_0005_clump_0006,1,2,0,3
LS21323_DJI_0005_clump_0007,1,2,0,3
LS21323_DJI_0005_clump_0008,0,4,0,4
LS21323_DJI_0005_clump_0009,2,1,0,3
LS21323_DJI_0005_clump_0010,1,1,0,2
LS21323_DJI_0005_clump_0011,3,3,0,6
LS21323_DJI_0005_clump_0012,2,3,0,5
LS21323_DJI_0005_clump_0013,1,0,0,1
LS21323_DJI_0005_clump_0014,1,1,0,2
LS21323_DJI_0005_clump_0015,1,1,0,2
LS21323_DJI_0005_clump_0016,2,1,0,3
LS21323_DJI_0005_clump_0017,0,1,0,1
LS21323_DJI_0006_clump_0001,1,1,0,2
LS21323_DJI_0006_clump_0002,2,2,0,4
LS21323_DJI_0006_clump_0003,0,0,1,1
LS21323_DJI_0006_clump_0004,3,3,0,6
LS21323_DJI_0007_clump_0001,2,2,0,4
LS21323_DJI_0007_clump_0002,1,0,0,1
LS21323_DJI_0007_clump_0003,1,1,0,2
LS21323_DJI_0007_clump_0004,0,1,1,2
LS21323_DJI_0007_clump_0005,1,1,0,2
LS21323_DJI_0007_clump_0006,1,1,0,2
LS21323_DJI_0007_clump_0007,1,0,0,1
LS21323_DJI_0007_clump_0008,1,1,0,2
LS21323_DJI_0007_clump_0009,1,1,0,2
LS21323_DJI_0008_clump_0001,1,1,0,2
LS21323_DJI_0008_clump_0002,1,1,0,2
LS21323_DJI_0008_clump_0003,1,1,0,2
LS21323_DJI_0008_clump_0004,3,3,0,6
LS21323_DJI_0008_clump_0005,1,1,0,2
LS21323_DJI_0008_clump_0006,1,1,0,2
LS21323_DJI_0008_clump_0007,3,1,0,4
LS21323_DJI_0008_clump_0008,1,1,0,2
LS21323_DJI_0008_clump_0009,1,1,0,2
LS21323_DJI_0008_clump_0010,2,2,0,4
LS21323_DJI_0008_clump_0011,2,2,0,4
LS21323_DJI_0008_clump_0012,2,2,0,4
LS21323_DJI_0008_clump_0013,1,1,0,2
LS21323_DJI_0008_clump_0014,1,1,0,2
LS21323_DJI_0008_clump_0015,1,1,0,2
LS21323_DJI_0008_clump_0016,1,1,0,2
LS21323_DJI_0008_clump_0017,1,1,0,2
LS21323_DJI_0008_clump_0018,1,1,0,2
LS21323_DJI_0008_clump_0019,1,1,0,2
LS21323_DJI_0008_clump_0020,2,2,0,2
LS21323_DJI_0008_clump_0021,1,1,0,2
LS21323_DJI_0009_clump_0001,1,1,0,2
LS21323_DJI_0009_clump_0002,1,1,0,2
LS21323_DJI_0009_clump_0003,1,1,0,2
LS21323_DJI_0009_clump_0004,4,5,0,9
LS21323_DJI_0009_clump_0005,1,1,1,3
LS21323_DJI_0009_clump_0006,3,3,0,6
LS21323_DJI_0009_clump_0007,2,2,0,4
LS21323_DJI_0009_clump_0008,1,1,0,2
LS21323_DJI_0009_clump_0009,2,2,0,4
LS21323_DJI_0009_clump_0010,1,1,0,2
LS21323_DJI_0009_clump_0011,2,1,0,3
LS21323_DJI_0009_clump_0012,1,2,0,3
LS21323_DJI_0009_clump_0013,0,0,0,0
LS21323_DJI_0009_clump_0014,2,3,0,5
LS21323_DJI_0009_clump_0015,1,1,0,2
LS21323_DJI_0009_clump_0016,2,0,0,2
LS21323_DJI_0009_clump_0017,1,1,0,2
LS21323_DJI_0009_clump_0018,0,2,0,2
LS21323_DJI_0009_clump_0019,0,2,0,2
LS21323_DJI_0009_clump_0020,2,2,0,4
LS21323_DJI_0009_clump_0021,1,1,0,2
LS21323_DJI_0009_clump_0022,0,2,0,2
LS21323_DJI_0009_clump_0023,1,1,0,2
LS21323_DJI_0009_clump_0024,0,0,1,1
LS21323_DJI_0009_clump_0025,1,1,0,2
LS21323_DJI_0009_clump_0026,1,1,0,2
LS21323_DJI_0009_clump_0027,1,1,0,2
LS21323_DJI_0009_clump_0028,1,1,0,2
LS21323_DJI_0009_clump_0029,2,0,0,2
LS21323_DJI_0009_clump_0030,2,2,0,4
LS21323_DJI_0009_clump_0031,0,2,0,2
LS21323_DJI_0009_clump_0032,0,2,0,2
LS21323_DJI_0009_clump_0033,1,1,0,2
LS21323_DJI_0010_clump_0001,1,1,0,2
LS21323_DJI_0010_clump_0002,2,2,0,4
LS21323_DJI_0010_clump_0003,4,4,0,8
LS21323_DJI_0010_clump_0004,7,6,0,13
LS21323_DJI_0010_clump_0005,3,1,0,4
LS21323_DJI_0010_clump_0006,0,2,0,2
LS21323_DJI_0010_clump_0007,1,1,0,2
LS21323_DJI_0010_clump_0008,1,1,0,2
LS21323_DJI_0010_clump_0009,2,2,0,4
LS21323_DJI_0010_clump_0010,2,2,0,4
LS21323_DJI_0010_clump_0011,1,1,0,2
LS21323_DJI_0010_clump_0012,2,1,0,3
LS21323_DJI_0010_clump_0013,1,2,0,3
LS21323_DJI_0010_clump_0014,1,1,0,2
LS21323_DJI_0010_clump_0015,1,1,0,2
LS21323_DJI_0010_clump_0016,1,1,0,2
LS21323_DJI_0010_clump_0017,1,1,0,2
LS21323_DJI_0010_clump_0018,1,0,0,1
LS21323_DJI_0010_clump_0019,1,1,0,2
LS21323_DJI_0010_clump_0020,1,1,0,2
LS21323_DJI_0010_clump_0021,3,3,0,6
LS21323_DJI_0010_clump_0022,1,1,0,2
LS21323_DJI_0010_clump_0023,0,2,0,2
LS21323_DJI_0010_clump_0024,0,1,2,3
LS21323_DJI_0010_clump_0025,1,1,0,2
LS21323_DJI_0010_clump_0026,0,2,0,2
LS21323_DJI_0010_clump_0027,1,1,0,2
LS21323_DJI_0010_clump_0028,2,1,0,3
LS21323_DJI_0010_clump_0029,2,2,1,5
LS21323_DJI_0010_clump_0030,1,1,0,2
LS21323_DJI_0010_clump_0031,0,2,0,2
LS21323_DJI_0010_clump_0032,0,0,1,1
LS21323_DJI_0010_clump_0033,1,0,0,1
LS21323_DJI_0010_clump_0034,2,0,0,2
LS21323_DJI_0010_clump_0035,0,3,0,3
LS21323_DJI_0010_clump_0036,1,1,0,2
LS21323_DJI_0010_clump_0037,2,2,0,4
LS21323_DJI_0010_clump_0038,2,4,0,6
LS21323_DJI_0010_clump_0039,1,1,0,2
LS21323_DJI_0011_clump_0001,1,4,0,5
LS21323_DJI_0011_clump_0002,1,1,0,2
LS21323_DJI_0011_clump_0003,2,2,0,4
LS21323_DJI_0011_clump_0004,1,1,0,2
LS21323_DJI_0011_clump_0005,2,1,0,3
LS21323_DJI_0011_clump_0006,1,1,0,2
LS21323_DJI_0011_clump_0007,0,2,0,2
LS21323_DJI_0011_clump_0008,0,3,2,5
LS21323_DJI_0011_clump_0009,4,4,0,8
LS21323_DJI_0011_clump_0010,1,1,0,2
LS21323_DJI_0011_clump_0011,1,1,0,2
LS21323_DJI_0011_clump_0012,1,1,0,2
LS21323_DJI_0011_clump_0013,2,2,0,4
LS21323_DJI_0011_clump_0014,1,1,0,2
LS21323_DJI_0011_clump_0015,3,3,0,6
LS21323_DJI_0011_clump_0016,1,2,0,3
LS21323_DJI_0011_clump_0017,2,1,0,3
LS21323_DJI_0011_clump_0018,1,1,0,2
LS21323_DJI_0011_clump_0019,2,2,0,4
LS21323_DJI_0011_clump_0020,0,3,0,3
LS21323_DJI_0011_clump_0021,1,1,0,2
LS21323_DJI_0011_clump_0022,2,1,0,3
LS21323_DJI_0011_clump_0023,1,1,0,2
LS21323_DJI_0011_clump_0024,2,2,0,4
LS21323_DJI_0011_clump_0025,1,0,0,1
LS21323_DJI_0011_clump_0026,1,1,0,2
LS21323_DJI_0011_clump_0027,0,0,1,1
LS21323_DJI_0011_clump_0028,3,2,1,6
LS21323_DJI_0011_clump_0029,1,0,0,1
LS21323_DJI_0011_clump_0030,1,1,0,2
LS21323_DJI_0011_clump_0031,1,1,0,2
LS21323_DJI_0011_clump_0032,0,2,0,2
LS21323_DJI_0011_clump_0033,1,1,0,2
LS21323_DJI_0011_clump_0034,1,1,0,2
LS21323_DJI_0011_clump_0035,2,3,0,5
LS21323_DJI_0011_clump_0036,1,1,0,2
LS21323_DJI_0011_clump_0037,3,2,0,5
LS21323_DJI_0011_clump_0038,1,3,0,4
LS21323_DJI_0011_clump_0039,1,2,0,3
LS21323_DJI_0011_clump_0040,0,2,0,2
LS21323_DJI_0011_clump_0041,0,2,0,2
LS21323_DJI_0012_clump_0001,1,3,0,4
LS21323_DJI_0012_clump_0002,2,2,0,4
LS21323_DJI_0012_clump_0003,1,3,0,4
LS21323_DJI_0012_clump_0004,2,2,0,4
LS21323_DJI_0012_clump_0005,2,2,0,4
LS21323_DJI_0012_clump_0006,0,3,0,3
LS21323_DJI_0012_clump_0007,2,1,0,3
LS21323_DJI_0012_clump_0008,1,1,0,2
LS21323_DJI_0012_clump_0009,2,2,0,4
LS21323_DJI_0012_clump_0010,1,1,0,2
LS21323_DJI_0012_clump_0011,2,2,0,4
LS21323_DJI_0012_clump_0012,4,4,0,8
LS21323_DJI_0012_clump_0013,3,3,0,6
LS21323_DJI_0012_clump_0014,1,1,0,2
LS21323_DJI_0012_clump_0015,1,1,0,2
LS21323_DJI_0012_clump_0016,1,1,0,2
LS21323_DJI_0012_clump_0017,3,3,0,6
LS21323_DJI_0012_clump_0018,4,4,0,8
LS21323_DJI_0012_clump_0019,1,1,0,2
LS21323_DJI_0012_clump_0020,1,1,0,2
LS21323_DJI_0012_clump_0021,0,0,0,0
LS21323_DJI_0012_clump_0022,1,1,0,2
LS21323_DJI_0012_clump_0023,1,0,0,1
LS21323_DJI_0012_clump_0024,1,1,0,2
LS21323_DJI_0012_clump_0025,1,2,0,3
LS21323_DJI_0012_clump_0026,1,1,0,2
LS21323_DJI_0012_clump_0027,0,3,0,3
LS21323_DJI_0012_clump_0028,1,1,0,2
LS21323_DJI_0012_clump_0029,1,1,0,2
LS21323_DJI_0012_clump_0030,0,1,0,1
LS21323_DJI_0012_clump_0031,0,4,0,4
LS21323_DJI_0012_clump_0032,0,1,0,1
LS21323_DJI_0012_clump_0033,3,2,0,5
LS21323_DJI_0012_clump_0034,1,2,0,3
LS21323_DJI_0013_clump_0001,1,1,0,2
LS21323_DJI_0013_clump_0002,1,1,0,2
LS21323_DJI_0013_clump_0003,1,3,0,4
LS21323_DJI_0013_clump_0004,1,1,0,2
LS21323_DJI_0013_clump_0005,2,2,0,4
LS21323_DJI_0013_clump_0006,3,3,0,6
LS21323_DJI_0013_clump_0007,1,1,0,2
LS21323_DJI_0013_clump_0008,1,1,0,2
LS21323_DJI_0013_clump_0009,1,1,0,2
LS21323_DJI_0013_clump_0010,2,2,0,4
LS21323_DJI_0013_clump_0011,0,3,0,3
LS21323_DJI_0013_clump_0012,1,2,0,3
LS21323_DJI_0013_clump_0013,2,2,0,4
LS21323_DJI_0013_clump_0014,2,2,0,4
LS21323_DJI_0013_clump_0015,1,1,0,2
LS21323_DJI_0013_clump_0016,1,1,0,2
LS21323_DJI_0013_clump_0017,1,1,0,2
LS21323_DJI_0013_clump_0018,1,1,0,2
LS21323_DJI_0013_clump_0019,1,1,0,2
LS21323_DJI_0013_clump_0020,4,3,0,7
LS21323_DJI_0013_clump_0021,1,1,0,2
LS21323_DJI_0013_clump_0022,1,1,0,2
LS21323_DJI_0013_clump_0023,3,3,0,6
LS21323_DJI_0013_clump_0024,1,1,0,2
LS21323_DJI_0013_clump_0025,1,1,0,2
LS21323_DJI_0013_clump_0026,3,2,0,5
LS21323_DJI_0013_clump_0027,1,0,0,1
LS21323_DJI_0013_clump_0028,1,1,0,2
LS21323_DJI_0013_clump_0029,0,2,0,2
LS21323_DJI_0013_clump_0030,3,3,0,6
LS21323_DJI_0013_clump_0031,2,1,0,3
LS21323_DJI_0013_clump_0032,0,3,0,3
LS21323_DJI_0013_clump_0033,0,2,0,2
LS21323_DJI_0013_clump_0034,1,1,0,2
LS21323_DJI_0013_clump_0035,1,1,0,2
LS21323_DJI_0013_clump_0036,1,1,0,2
LS21323_DJI_0014_clump_0001,2,2,0,4
LS21323_DJI_0014_clump_0002,2,3,0,5
LS21323_DJI_0014_clump_0003,1,1,0,2
LS21323_DJI_0014_clump_0004,1,3,0,3
